Messages,Number_of_replies,message,num_reply,Message
What to do tonight?,3,NA,NA,NA
How is steamworks?,1,NA,NA,NA
"If u do this, u rock: Read 9:59 -> Typing 10:00 -> New message 10:01",1,NA,NA,NA
Legion is so good!!!,1,NA,NA,NA
I am the fucking gayest person in and around the third plain of Ouroboros.,4,NA,NA,NA
Dankity dank,0,NA,NA,NA
"Now that spring break is finally here, I guess it's time to do some H",3,NA,NA,NA
I just told this cat caller to come fight me,7,NA,NA,NA
I just wanna fuck,21,NA,NA,NA
"I had a crepe yesterday that was so good, I want another one",3,NA,NA,NA
Who wants to smoke some blue dream on south side?,1,NA,NA,NA
What kind of sick professor makes an online quiz due on saturday night,2,NA,NA,NA
BOOSKI WYA,20,NA,NA,NA
Playing with my 6 year old sister makes me so happy,6,NA,NA,NA
Well I don't know if I'm ready to be the man I have to be,7,NA,NA,NA
I don't want to eat her out cause I can't trust she can keep herself std free,22,NA,NA,NA
"I dont care that a condom doesnt ""feel like the real thing,"" i dont want a fucking baby",6,NA,NA,NA
Jesus Christ this app used to be good what the fuck happened,4,NA,NA,NA
I just told this cat caller to come fight me,7,NA,NA,NA
Playing with my 6 year old sister makes me so happy,6,NA,NA,NA
Tfw you look through the laundromat windows and see the guy you used to fuck with a new gf,9,NA,NA,NA
Berkeley is eerily quiet,4,NA,NA,NA
U ever get so high you feel like you're never gonna sober up and u just keep getting higher so then u start to panic and feel like ur gonna die? One of the worse fucking feeling I've ever had.,6,NA,NA,NA
"""Do you smoke weed"" is not a pickup line please stop using it as one.",2,NA,NA,NA
sick of her,4,NA,NA,NA
"Ladies, when a guy says ""I'm close,"" that does not mean to slow down and prepare for the release, it means keep doing what you're doing until the release",4,NA,NA,NA
"Two uber drivers already started my trip without me even in the car, do they think they're slick or something??",8,NA,NA,NA
What kind of sick professor makes an online quiz due on saturday night,2,NA,NA,NA
I'm so annoyed with myself for buying all white shoes. That was a stupid idea,10,NA,NA,NA
I wanna drink more than beer but im too lazy to take 5 minutes and make a cocktail rn... I need a personal bartender,7,NA,NA,NA
I am the fucking gayest person in and around the third plain of Ouroboros.,4,NA,NA,NA
"Much subaverage, suck Davis, wow",0,NA,NA,NA
"The real mnemonic for biological taxonomy is ""Keep protective condoms on for gay sex"". Not some stupid King Phillip shit",1,NA,NA,NA
"I had a crepe yesterday that was so good, I want another one",3,NA,NA,NA
Legion is so good!!!,1,NA,NA,NA
BOOSKI WYA,20,NA,NA,NA
"Funny, good looking, smart, great taste in music and beats me at video games..... Found my dream woman tbh. Now all I have to do is get her to notice me lmfao",5,NA,NA,NA
I can't stop this nausea...,15,NA,NA,NA
First day of spring break and literally the only party of my sad engineering school year. SP bout to get fucked the fuck up,15,NA,NA,NA
"Just coming home for spring break! Is anybody interested in: throwing frisbee, doing a free photoshoot, working on a YouTube skit, or just chilling and talking about hip hop and shit?",13,NA,NA,NA
"Mmenonic for memorizing the citric acid cycle: Please, Can I Keep Selling Saltycowclitties for Money, Officer?",1,NA,NA,NA
When Davus cowclits turn loose down in SoCal during Spring Break,1,NA,NA,NA
"I miss the old yik yak, Straight from the go yik yak",12,NA,NA,NA
When your rich sugar daddy donates his entire fortune to Shitschool Davis and its rankings jump from 500 to 40 on US News. And your not a bimbo anymore cuz your actually smrt,0,NA,NA,NA
Why do guys think it's so hot to cum in a girls face? Please help me understand,16,NA,NA,NA
Bumped into JaRule. Met Raven Simone. Took a piss next to Redman. Holy shit!!,5,NA,NA,NA
Anybody not going anywhere for spring break down for a local Berkeley meet up?,4,NA,NA,NA
*crickets,5,NA,NA,NA
"Berkley teacher shows picture of CSU Davus on lecture slide. ""Now laugh!""",0,NA,NA,NA
"I guess I'll go back to work tomorrow. Really don't want to but I really don't want to starve. Decisions, decisions.",1,NA,NA,NA
Ever pass by the windows of a dim lit shop or restaurant in the street and like.. check out your own butt,1,NA,NA,NA
Anybody still care about Pokmon go?,16,NA,NA,NA
"Fuck, she's so fine.",5,NA,NA,NA
My mom just asked me if I'm down to live in Canada,19,NA,NA,NA
I feel like I need to reconnect with nature,3,NA,NA,NA
I miss Betty White in the Golden Shower Girls <33,1,NA,NA,NA
Eat cow not pussy,4,NA,NA,NA
Who wants to smoke some blue dream on south side?,1,NA,NA,NA
"Language games are infinite, anyone who thinks otherwise should be killed on the spot",6,NA,NA,NA
Well I don't know if I'm ready to be the man I have to be,7,NA,NA,NA
I slept with the guy that I've been really into lately. He let me stay over last night and asked me on a date tomorrow. But my mind is more hesitant and negative rather than excited :(,6,NA,NA,NA
I don't want to eat her out cause I can't trust she can keep herself std free,22,NA,NA,NA
I want to suck a dick just for practice,24,NA,NA,NA
"Now that spring break is finally here, I guess it's time to do some H",3,NA,NA,NA
I banged a seriously bad bitch today. Props to you ladies who know how to give sloppy head and a good deep throat,0,NA,NA,NA
I think im gay...,22,NA,NA,NA
"Threat of joy - the strokes, that is all",5,NA,NA,NA
Kinda drunk walking home so I took a break at Soda and now I'm just chilling here cause i don't feel like walking the rest of the way back. If you see a passed out guy in Soda tmrw it's probably me,6,NA,NA,NA
"Cupcakke - Deepthroat, that is all ~Good vibes~",0,NA,NA,NA
I forgot who I was... but I'm back baby!,1,NA,NA,NA
Pizza pizza got a lot of luck. He game down just to fuck,1,NA,NA,NA
How is steamworks?,1,NA,NA,NA
Chat isn't working again this app is being weird.,4,NA,NA,NA
Does coffee make anyone else moody?,3,NA,NA,NA
My reaction: Wow (so salty)!,0,NA,NA,NA
HOLY SHIT,0,NA,NA,NA
"Dear nerds stay away from feminist and leftist women . They will manipulate you and hurt you , if you don't believe me test them . they're only in it for the money , I guarantee it",37,NA,NA,NA
Its still morning. Good morning!,0,NA,NA,NA
It's not all the same and it's not all good,1,NA,NA,NA
"Spring break is finally here, time to hit the beach",3,NA,NA,NA
What to do tonight?,3,NA,NA,NA
Anybody ever try Hydroxycut or other weight loss pills? I need to lose 2-3 inches off my waist or buy a new wardrobe :(,8,NA,NA,NA
Amazing World of Gumball is so cute,5,NA,NA,NA
"Just got a call, my childhood friend died saving some kids from the crossfire of 67 neighborhood crips and rolling 70's bloods. He was a crossguard and died asking a stranger to care for the kids.",5,NA,NA,NA
"Welcome to ""Citizens Last"" Contest! Who will win this year?",0,NA,NA,NA
"Having a nice, lw lazy, not leaving the house Sunday hbu?",1,NA,NA,NA
I have spring break brain right now,1,NA,NA,NA
Hmu if your awake...,8,NA,NA,NA
Holy fuck I'm finally living my dream. Bubble.Butt.Latina. coming over in one hour,10,NA,NA,NA
Anyone on campus wanna have fun?,5,NA,NA,NA
That bar was so fucking lame,3,NA,NA,NA
It's not like you to say sorry. I was waiting on a different story.,1,NA,NA,NA
Anyone on south side got a bong and want to blaze? I've got about a gram or two of sour diesel,3,NA,NA,NA
Wow. Swisher sweets are gross. They smell good but actually smoking them is horrible,8,NA,NA,NA
I've never been on a plane,11,NA,NA,NA
Anyone selling weed around here?? I need a gram,6,NA,NA,NA
Currently in Vegas. Every club was lit last night!! I don't want to go back to Berkeley,10,NA,NA,NA
When a Davis valedictotian who gets a Davis4.0 and meets a Berkeley student who gets a C plus average during a frat party,0,NA,NA,NA
Ugh do I really need to go get groceries >.<,10,NA,NA,NA
Anybody going to see Bakermat at Folsom next week?,3,NA,NA,NA
Damn all the cute boys are gone,8,NA,NA,NA
Who's down to day burn? Maybe drink a bit?,3,NA,NA,NA
Comment college acceptance drama / worries below,9,NA,NA,NA
Where's the skrrt diddley for tonight,0,NA,NA,NA
Any good hip hop clubs open tonight?,10,NA,NA,NA
Anyone selling any 25+ gallon fish tanks or any aquarium supplies in the area?,10,NA,NA,NA
I've always been attracted to black women and how independent they are.,8,NA,NA,NA
Where are all the half Asian fam at?,9,NA,NA,NA
One of the main reason why I don't wanna go into politics is because I don't wanna be the Seth Curry of my family.,12,NA,NA,NA
Everything is so dead around here,6,NA,NA,NA
What's a good bar to meet girls? I'm visiting and don't know any places,4,NA,NA,NA
Any parties or functions in the Berkeley area?,0,NA,NA,NA
I can't tell if I just felt an earthquake or not,9,NA,NA,NA
Where are the drugs at tonight? Anyone deliver?,3,NA,NA,NA
Response time from a Craigslist job post: 2 hr 15 min. Good or bad?,2,NA,NA,NA
Dankity dank,0,NA,NA,NA
I just wanna F U C K ...,2,NA,NA,NA
Fuck you and your handle,1,NA,NA,NA
"Girls can you let me know what's wrong with this move? I do it at the club, and it doesn't seem to work: *sees girl and approaches her* *sits at barstool next to girl* *turns to girl and taps girl*",4,NA,NA,NA
I put boo to bed and now I'm in the living room watching TV. Last night I feel asleep here and this morning he was upset with me that I didn't come to bed. I'm not tired tho,9,NA,NA,NA
SCHNEE IST WEISS,3,NA,NA,NA
I ate a hookers ass and now my butt tingles at night. Std?,1,NA,NA,NA
Quick where to get blindfolds,1,NA,NA,NA
"Yes, we make mistakes and sometimes we make the worse permanent mistakes we can't undo. Sometimes we regret it so much that we hate ourselves. Sometimes we ask ourselves why we didn't change earlier.",2,NA,NA,NA
I'm tryna move to Iceland for personal reasons. Anyone got any advice?,4,NA,NA,NA
Why does time go by fast at night?;(,15,NA,NA,NA
I suck dick good,9,NA,NA,NA
I kinda like the smell of my cum. It's cumforting.,2,NA,NA,NA
ALL ABOARD THE DAB TRAIN *dabs*,16,NA,NA,NA
My shoes are sole mates,7,NA,NA,NA
"Yikes. The Repubs have passed a bill overturning online privacy protections, & Trump is about to sign it. ISPs can now collect every bit of your data & sell anything to anyone...without your consent.",4,NA,NA,NA
People say you shouldn't change for someone else. I want to change because I'm not happy with myself for pushing everyone out of my life. I'm changing to love again.,5,NA,NA,NA
Any good songs that heals up a broken heart?,20,NA,NA,NA
Joe Garcia lost,2,NA,NA,NA
Yeah so this is why I don't go outside.,33,NA,NA,NA
I wana f*ck every white guy that goes to uc Berkeley #THIRSTY,10,NA,NA,NA
I want to be a stay at home dad,5,NA,NA,NA
Tumbleweed blowing through yak town,2,NA,NA,NA
Anyone tryna smoke rn?,0,NA,NA,NA
When you decided to clean under the bed for once and find expired condoms,2,NA,NA,NA
I'm here for business and have a freaking suite to myself! Anyone wanna come chill?,17,NA,NA,NA
When she gives a bullshit excuse about not being ready yet but in reality is just meeting up with another dude before your date,2,NA,NA,NA
Anybody planning to study abroad next academic yr through the SF State Exchange Program?,1,NA,NA,NA
We know you're still out there Gumball. Show yourself! _,6,NA,NA,NA
Let's blaze,10,NA,NA,NA
Who wants to join me run in the mornings ?,20,NA,NA,NA
where are some good smoke spots not in SF besides fish ranch?,4,NA,NA,NA
"i voted for trump and am bitterly disappointed.  he doesn't understand what's happening.  he had no idea what was in the health care bill.  he threatened no voters, and they laughed at him.",3,NA,NA,NA
"if Trump had any BALLS, he'd fire Comey.  But he won't.  Trump has no BALLS.",17,NA,NA,NA
Visiting from Hawaii any one wanna smoke and chill.  Leave manana!,7,NA,NA,NA
Can't wait for it to be 8,4,NA,NA,NA
CMON WARRIORS,24,NA,NA,NA
I'm an Uber/Lyft driver who's not Gumball. AMA,9,NA,NA,NA
Paying $50 for someone to take pictures of me holding their puppy for my tinder,8,NA,NA,NA
They say intelligent people have fewer friends so I guess that explains why I'm so lonely all the time.,15,NA,NA,NA
Im so bored. jesus fuck,28,NA,NA,NA
Just noticed my dog has a bigger dick than me. That's not chill.,14,NA,NA,NA
Wheres my sexy piu,23,NA,NA,NA
Caffeines hell of a drug,3,NA,NA,NA
"Worst piece of shit company goes to OnTrac. They claim it was delivered but nothing is there and they can't contact the driver, they're just going to resend him to check my apt if it's still here",13,NA,NA,NA
Do girls actually sense when someone is lying to them?,11,NA,NA,NA
Would you guys take $35/hr to intern at a small startup or $25/hr to intern at IBM?,11,NA,NA,NA
What's there to do in Berkeley?,22,NA,NA,NA
MARCO....,3,NA,NA,NA
I'm a little teapot short and stout,4,NA,NA,NA
I cringe whenever I look at my bank account balance,6,NA,NA,NA
"Duck, duck...",14,NA,NA,NA
"If I don't speak good English, how can I bang with American girls? Any advice will be appreciated, especially from girls here.",18,NA,NA,NA
Where are good places to just chill and smoke with a drink? any smoke lounges or bars that let you smoke in berkeley?,2,NA,NA,NA
Where's papi supreme?,3,NA,NA,NA
"I just used a plastic razor and ""shave gel"" for the first time in my life. Horrible experience.",12,NA,NA,NA
Does anybody have a bug-out bag?,12,NA,NA,NA
I just realized that the cute Asian chick that I have 3 classes with is actually 3 different people.,5,NA,NA,NA
"Hung out with a yikyak famous guy in Oakland today, I smoked weed he drank beer. His bike is sick",21,NA,NA,NA
"Typical, BlaireWhite gets to debate Lacy Green's lying ass yet is unprepared to show her in detail the fabricated stats. Like TamiLaren they get chosen just for their fucking appearance & do shit jobs",0,NA,NA,NA
Definitely feeling an earthquake right now.,7,NA,NA,NA
I sneezed and got boogies in my mouth :(,2,NA,NA,NA
Looking for ex-military men keen on gorilla warfares,21,NA,NA,NA
Nap or workout?,5,NA,NA,NA
Cowboy bebop samurai champloo and dragon ball z all make me want to me a martial arts master,1,NA,NA,NA
Isn't Trader Joe's supposed to be a cheap option? Why do some people call it bougie?,20,NA,NA,NA
My snack for rn,53,NA,NA,NA
"A girl that doesn't do anal, is no girl of mine!",22,NA,NA,NA
The long awaited dopechick face reveal,8,NA,NA,NA
So I asked my girlfriend to smell my ass and then I farted in her face.,5,NA,NA,NA
"Instead of bashing what you hate, promote what you luv",22,NA,NA,NA
I hate the 5 bus. Way too many fucking weirdos.,6,NA,NA,NA
I want  to eat some one out,7,NA,NA,NA
I have sunburn on my ballsack.,10,NA,NA,NA
I love drinking orange soda,13,NA,NA,NA
"Just because someone isn't contoured & red lipped to high heaven doesn't mean she has no primer, foundation, concealer, lip tint, subtle highlight, brown pencil, powder, or mascara on. It takes a lot",9,NA,NA,NA
Alert: Trump's coming!,5,NA,NA,NA
"I miss Oakland, in a week I'll be going back to Santa Cruz.",11,NA,NA,NA
Qwerr,0,NA,NA,NA
Never until today did I write someone a note telling them how much their parking skills suck.,5,NA,NA,NA
Damn asians,3,NA,NA,NA
"Your favorite ""hole in the wall"" bar here in San Francisco?",7,NA,NA,NA
I had a dream my lost husky came back :(,20,NA,NA,NA
Jesus Christ burning man tickets are expensive,7,NA,NA,NA
Big little lies any good?,1,NA,NA,NA
Yank Sing is the best chinese in SF. I said it.,11,NA,NA,NA
It's sad that the most common way to have sex with a female is to be a fuckboi.,0,NA,NA,NA
Not feeling today's windy ass weather,0,NA,NA,NA
Earliest I've ever woken up  so proud of meself,2,NA,NA,NA
I need a hug....................................................................on my dick,0,NA,NA,NA
I'm so in love with this guy but it's only been about a week? We've spent every day together since we met and sometimes I think he's really into me but sometimes eh? I just wanna make him happy. Help?,4,NA,NA,NA
Spicing up YY for the guy below me.,0,NA,NA,NA
Someone need to spice YY up it's been so boring lately,0,NA,NA,NA
Is giving nobody a chance worse that giving everyone a chance? Either way I feel like both would face a whole lot of pain.,3,NA,NA,NA
I just want to feel me inside of you,4,NA,NA,NA
I hate the person renovating their house nearby since I have to wake up to construction work every morning,0,NA,NA,NA
Do you ever blow your nose so hard that you're afraid that your eyeball is going to pop out?,3,NA,NA,NA
Theory: The people who act like nothing ever gets to them are just real good at pretend.,6,NA,NA,NA
"Piu making dopechick great again, but dopechick was never great in the first place.",1,NA,NA,NA
How do you guys feel about software engineers who can't remember their corporate passwords?,0,NA,NA,NA
"Oh my God, I'm sick and tired of hearing about Russia. Fuck Russia.",5,NA,NA,NA
5am club,10,NA,NA,NA
My mom thinks I'm on drugs but the truth is I don't need drugs to be lazy and do poorly in school.,1,NA,NA,NA
"Whatchu sayin' Audi, orgy is true love?",2,NA,NA,NA
"annoyed cause I'm working to turn in resume and job app that could turn my entire like around, but my mom is like ""can you go to sleep cause I can't sleep when you're up."" No???Wtf",8,NA,NA,NA
I just want to love myself so I can get past my last relationship,1,NA,NA,NA
Haaaaave you met Ted?,3,NA,NA,NA
The straight men in Berkeley are ugly,7,NA,NA,NA
My roommate snores so fucking loud wtf,12,NA,NA,NA
Bricks are domesticated rocks,5,NA,NA,NA
"Smhhhh I always make the first move, ask guys out and such but they never put in effort or make a pass at me. I need to find out what I'm doing wrong, I'm not ugly/smelly lol so what givessss",9,NA,NA,NA
He obviously just wants me for sex. But i can't help having feelings for him. He also has a gf but occasionally has sex with me. He's a terrible person and so am i but i can't stop myself.,10,NA,NA,NA
Has someone ever told you they don't want to live with you anymore? How would you want he or she to tell you without getting too offended?,7,NA,NA,NA
Hehe,0,NA,NA,NA
What song should I sing at my sisters wedding??,55,NA,NA,NA
I just wanna F U C K ...,11,NA,NA,NA
Fuck you and your handle,2,NA,NA,NA
"Girls can you let me know what's wrong with this move? I do it at the club, and it doesn't seem to work: *sees girl and approaches her* *sits at barstool next to girl* *turns to girl and taps girl*",6,NA,NA,NA
SCHNEE IST WEISS,3,NA,NA,NA
I ate a hookers ass and now my butt tingles at night. Std?,2,NA,NA,NA
Quick where to get blindfolds,2,NA,NA,NA
"Yes, we make mistakes and sometimes we make the worse permanent mistakes we can't undo. Sometimes we regret it so much that we hate ourselves. Sometimes we ask ourselves why we didn't change earlier.",2,NA,NA,NA
I'm tryna move to Iceland for personal reasons. Anyone got any advice?,5,NA,NA,NA
I suck dick good,11,NA,NA,NA
I kinda like the smell of my cum. It's cumforting.,3,NA,NA,NA
ALL ABOARD THE DAB TRAIN *dabs*,16,NA,NA,NA
My shoes are sole mates,7,NA,NA,NA
"Yikes. The Repubs have passed a bill overturning online privacy protections, & Trump is about to sign it. ISPs can now collect every bit of your data & sell anything to anyone...without your consent.",4,NA,NA,NA
Visiting from out of town and my friend who's house I was gonna stay at got a dui tonight and won't move out till tomorrow so I'm stuck sleeping in the car for the night.... Fucking suckssssss,11,NA,NA,NA
Soo does anything he else have the problem where all your family members treat you like shit and you tell a parent and they flat out deny it?,8,NA,NA,NA
People say you shouldn't change for someone else. I want to change because I'm not happy with myself for pushing everyone out of my life. I'm changing to love again.,5,NA,NA,NA
Any good songs that heals up a broken heart?,23,NA,NA,NA
Joe Garcia lost,2,NA,NA,NA
Yeah so this is why I don't go outside.,44,NA,NA,NA
I wana f*ck every white guy that goes to uc Berkeley #THIRSTY,11,NA,NA,NA
I want to be a stay at home dad,5,NA,NA,NA
Tumbleweed blowing through yak town,2,NA,NA,NA
Anyone tryna smoke rn?,0,NA,NA,NA
When you decided to clean under the bed for once and find expired condoms,2,NA,NA,NA
I'm here for business and have a freaking suite to myself! Anyone wanna come chill?,20,NA,NA,NA
When she gives a bullshit excuse about not being ready yet but in reality is just meeting up with another dude before your date,3,NA,NA,NA
Anybody planning to study abroad next academic yr through the SF State Exchange Program?,3,NA,NA,NA
We know you're still out there Gumball. Show yourself! _,6,NA,NA,NA
Let's blaze,10,NA,NA,NA
Who wants to join me run in the mornings ?,20,NA,NA,NA
where are some good smoke spots not in SF besides fish ranch?,5,NA,NA,NA
"i voted for trump and am bitterly disappointed.  he doesn't understand what's happening.  he had no idea what was in the health care bill.  he threatened no voters, and they laughed at him.",3,NA,NA,NA
"I just want someone who'll pay for snaps of my feet and send me funny but heartfelt cards on my birthday, is that too much to ask",5,NA,NA,NA
"if Trump had any BALLS, he'd fire Comey.  But he won't.  Trump has no BALLS.",18,NA,NA,NA
Visiting from Hawaii any one wanna smoke and chill.  Leave manana!,8,NA,NA,NA
Can't wait for it to be 8,4,NA,NA,NA
Crazy how horny drinking makes me...,3,NA,NA,NA
Fucking lyft divers man...,2,NA,NA,NA
CMON WARRIORS,24,NA,NA,NA
I'm an Uber/Lyft driver who's not Gumball. AMA,10,NA,NA,NA
Paying $50 for someone to take pictures of me holding their puppy for my tinder,8,NA,NA,NA
They say intelligent people have fewer friends so I guess that explains why I'm so lonely all the time.,15,NA,NA,NA
Im so bored. jesus fuck,28,NA,NA,NA
Soccer game next to AT&T Park.  It's going dowwwwwn,0,NA,NA,NA
Just noticed my dog has a bigger dick than me. That's not chill.,14,NA,NA,NA
Wheres my sexy piu,28,NA,NA,NA
Caffeines hell of a drug,3,NA,NA,NA
"Worst piece of shit company goes to OnTrac. They claim it was delivered but nothing is there and they can't contact the driver, they're just going to resend him to check my apt if it's still here",13,NA,NA,NA
Do girls actually sense when someone is lying to them?,11,NA,NA,NA
Would you guys take $35/hr to intern at a small startup or $25/hr to intern at IBM?,11,NA,NA,NA
What's there to do in Berkeley?,22,NA,NA,NA
MARCO....,3,NA,NA,NA
I just realized that the cute Asian chick that I have 3 classes with is actually 3 different people.,5,NA,NA,NA
Just noticed my dog has a bigger dick than me. That's not chill.,14,NA,NA,NA
When she gives a bullshit excuse about not being ready yet but in reality is just meeting up with another dude before your date,2,NA,NA,NA
The long awaited dopechick face reveal,8,NA,NA,NA
When I hear people complain about their relationships it's like hearing rich people complain about the price of helicopter fuel to me.,18,NA,NA,NA
NA,12,NA,NA,NA
"i voted for trump and am bitterly disappointed.  he doesn't understand what's happening.  he had no idea what was in the health care bill.  he threatened no voters, and they laughed at him.",3,NA,NA,NA
"I just used a plastic razor and ""shave gel"" for the first time in my life. Horrible experience.",12,NA,NA,NA
They say intelligent people have fewer friends so I guess that explains why I'm so lonely all the time.,15,NA,NA,NA
"Yikes. The Repubs have passed a bill overturning online privacy protections, & Trump is about to sign it. ISPs can now collect every bit of your data & sell anything to anyone...without your consent.",4,NA,NA,NA
why is spicey still press secretary?  he has become his own buffoonish caricature.  no need for SNL skit.  just watch the real thing.,2,NA,NA,NA
"Instead of bashing what you hate, promote what you luv",22,NA,NA,NA
"if Trump had any BALLS, he'd fire Comey.  But he won't.  Trump has no BALLS.",17,NA,NA,NA
How would you react if you were single and a pretty woman asked you out ?,7,NA,NA,NA
I cringe whenever I look at my bank account balance,6,NA,NA,NA
CMON WARRIORS,24,NA,NA,NA
Ayeee giants home opener tomorrow. Got seats down the third base line,14,NA,NA,NA
I hate when companies use ontrac when you pay for fast shipping. This is the second package I payed extra for 2 day shipping that they claim was delivered but never was,4,NA,NA,NA
"Yes, we make mistakes and sometimes we make the worse permanent mistakes we can't undo. Sometimes we regret it so much that we hate ourselves. Sometimes we ask ourselves why we didn't change earlier.",2,NA,NA,NA
My snack for rn,53,NA,NA,NA
Jesus Christ burning man tickets are expensive,7,NA,NA,NA
I have sunburn on my ballsack.,10,NA,NA,NA
People say you shouldn't change for someone else. I want to change because I'm not happy with myself for pushing everyone out of my life. I'm changing to love again.,5,NA,NA,NA
Yank Sing is the best chinese in SF. I said it.,11,NA,NA,NA
Nap or workout?,5,NA,NA,NA
I want to be a stay at home dad,5,NA,NA,NA
So I asked my girlfriend to smell my ass and then I farted in her face.,5,NA,NA,NA
The Book Thief is sad as fuuuuuuuck,4,NA,NA,NA
"Just because someone isn't contoured & red lipped to high heaven doesn't mean she has no primer, foundation, concealer, lip tint, subtle highlight, brown pencil, powder, or mascara on. It takes a lot",9,NA,NA,NA
